id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
11729,Volvo,S60,1.6 D Premium,2012.0,6000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1560.0,115.0,,,Sahibinden,1100000.0
11730,Volvo,V40,2.0 T,2001.0,300000.0,Otomatik,Benzin,Station wagon,Lacivert,1900.0,163.0,0.0,0.0,Galeriden,470000.0
11731,Volvo,S60,1.6 T4 Premium,2011.0,197000.0,Yarı Otomatik,Benzin,Sedan,Şampanya,1595.0,180.0,0.0,3.0,Galeriden,759000.0
11732,Volvo,S60,2.0 D Advance,2018.0,271000.0,Otomatik,Benzin,Sedan,Gri,1969.0,190.0,0.0,2.0,Galeriden,1180000.0
11733,Volvo,S40,1.6,2001.0,380000.0,Düz,Benzin,Sedan,Beyaz,1587.0,109.0,0.0,0.0,Galeriden,355000.0
11734,Volvo,V40,1.5 T3 Inscription,2018.0,44000.0,Otomatik,Benzin,Hatchback/5,Gri,1500.0,163.0,0.0,0.0,Galeriden,1520000.0
11735,Volvo,S90,2.0 D B5 Plus Bright,2024.0,7200.0,Otomatik,Dizel,Sedan,Gri,1900.0,238.0,0.0,0.0,Galeriden,4799999.0
11736,Peugeot,206,1.4 XT,2005.0,154000.0,Düz,Benzin,Hatchback/5,Gri,1300.0,88.0,3.0,3.0,Galeriden,325000.0
11737,Peugeot,206,1.4 X-Design,2005.0,215000.0,Düz,Benzin,Hatchback/5,Siyah,1300.0,63.0,0.0,8.0,Galeriden,240000.0
11738,Volvo,V40,1.6 D Advance,2015.0,168000.0,Otomatik,Benzin,Hatchback/5,Mavi,1500.0,113.0,0.0,0.0,Galeriden,1047500.0
11739,Peugeot,206,1.4 X-Line,2004.0,328000.0,Düz,LPG & Benzin,Hatchback/5,Gri,,,,,Sahibinden,255000.0
11740,Peugeot,207,1.4 Trendy,2009.0,216000.0,Otomatik,Benzin,Hatchback/5,Siyah,1360.0,91.0,,,Sahibinden,465000.0
11741,Peugeot,207,1.4 HDi Envy,2011.0,141000.0,Düz,Dizel,Hatchback/5,Siyah,1360.0,71.0,1.0,3.0,Sahibinden,490000.0
11742,Peugeot,307,1.6 HDi Comfort,2006.0,269000.0,Düz,Dizel,Hatchback/5,Kırmızı,1560.0,91.0,0.0,9.0,Sahibinden,380000.0
11743,Peugeot,206,1.4 Executive,2009.0,160000.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1360.0,76.0,,,Sahibinden,360000.0
11744,Peugeot,208,1.2 PureTech Active,2021.0,93000.0,Düz,Benzin,Hatchback/5,Füme,1199.0,76.0,,,Galeriden,799000.0
11745,Peugeot,206,1.4 Generation,2009.0,159000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1360.0,76.0,0.0,6.0,Sahibinden,295000.0
11746,Peugeot,206,1.4 X-Line,2003.0,230000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1360.0,76.0,,,Sahibinden,345000.0
11747,Peugeot,407,1.6 HDi Executive Black,2010.0,340000.0,Düz,Benzin,Sedan,Gri,1560.0,112.0,0.0,0.0,Galeriden,355000.0
11748,Peugeot,208,1.2 VTi Active,2014.0,132000.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1199.0,83.0,1.0,4.0,Sahibinden,615000.0
11749,Peugeot,301,1.6 HDi Active,2016.0,210000.0,Düz,Benzin,Sedan,Beyaz,1560.0,93.0,,,Galeriden,545000.0
11750,Peugeot,306,1.6 Griffe,1998.0,295000.0,Düz,Benzin,Sedan,Yeşil,,,2.0,0.0,Sahibinden,260000.0
11751,Peugeot,301,1.6 HDi Active,2015.0,203000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,0.0,4.0,Sahibinden,515000.0
11752,Peugeot,508,1.5 BlueHDI Prime,2020.0,105000.0,Otomatik,Dizel,Sedan,Gri (Gümüş),1499.0,130.0,0.0,2.0,Sahibinden,1320000.0
11753,Peugeot,301,1.5 BlueHDI Active,2020.0,170000.0,Düz,Dizel,Sedan,Gri (metalik),1499.0,102.0,2.0,4.0,Galeriden,550000.0
11754,Peugeot,301,1.6 HDi Active,2016.0,191000.0,Düz,Dizel,Sedan,Füme,1560.0,93.0,0.0,1.0,Sahibinden,575000.0
11755,Peugeot,307,1.6 XT,2003.0,152000.0,Otomatik,Benzin,Hatchback/5,Gri,1587.0,110.0,2.0,10.0,Sahibinden,489000.0
11756,Peugeot,207,1.4 Trendy,2006.0,215000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),1360.0,91.0,1.0,5.0,Sahibinden,414999.0
11757,Peugeot,307,1.6 Technoplus,2004.0,219000.0,Düz,Benzin,Hatchback/5,Mavi,1587.0,110.0,0.0,2.0,Galeriden,375750.0
11758,Peugeot,508,1.5 BlueHDI Allure,2020.0,237000.0,Otomatik,Benzin,Sedan,Füme,1499.0,130.0,0.0,0.0,Galeriden,1299000.0
11759,Peugeot,301,1.6 HDi Active,2016.0,380000.0,Düz,Benzin,Sedan,Beyaz,1560.0,93.0,3.0,7.0,Galeriden,345000.0
11760,Peugeot,301,1.5 BlueHDI Active,2019.0,127000.0,Düz,Dizel,Sedan,Beyaz,1499.0,102.0,1.0,4.0,Sahibinden,675000.0
11761,Peugeot,301,1.6 HDi Active,2018.0,242000.0,Düz,Benzin,Sedan,Beyaz,1560.0,93.0,,,Galeriden,565000.0
11762,Peugeot,106,XR,1998.0,300000.0,Düz,Benzin,Hatchback/5,Yeşil,1360.0,76.0,2.0,9.0,Galeriden,162000.0
11763,Peugeot,301,1.6 HDi Allure,2017.0,131000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,1.0,2.0,Sahibinden,660000.0
11764,Peugeot,206,1.4 HDi Fever,2007.0,289500.0,Düz,Benzin,Hatchback/5,Siyah,1398.0,71.0,0.0,0.0,Galeriden,248500.0
11765,Peugeot,208,1.2 PureTech Allure Selection,2023.0,19000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1200.0,138.0,0.0,0.0,Galeriden,1230000.0
11766,Peugeot,207,1.4 Comfort,2011.0,174000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1360.0,76.0,2.0,4.0,Sahibinden,415000.0
11767,Peugeot,206,1.4 X-Design,2006.0,110000.0,Düz,Benzin,Hatchback/5,Gri,1360.0,76.0,1.0,6.0,Sahibinden,350000.0
11768,Peugeot,206,1.4 X-Line,2003.0,214800.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1360.0,76.0,2.0,8.0,Sahibinden,267500.0
11769,Peugeot,206+,1.4 Comfort,2011.0,129000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1360.0,76.0,0.0,4.0,Sahibinden,413000.0
11770,Peugeot,307,1.6 XR,2004.0,173000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1587.0,110.0,,,Sahibinden,420000.0
11771,Peugeot,206,1.6 XT,2001.0,256000.0,Düz,Benzin,Hatchback/5,Gri,1587.0,109.0,0.0,5.0,Galeriden,239900.0
11772,Peugeot,206,1.4 Desire,2004.0,280000.0,Düz,Benzin,Hatchback/5,Mavi,1360.0,76.0,0.0,11.0,Galeriden,225000.0
11773,Peugeot,206,2.0 GTI,2001.0,157000.0,Düz,Benzin,Hatchback/3,Mavi,1997.0,137.0,0.0,12.0,Galeriden,235900.0
11774,Peugeot,208,1.4 HDi Active,2015.0,113500.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1300.0,63.0,1.0,1.0,Galeriden,695000.0
11775,Peugeot,206,1.4 XR,2000.0,275000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1360.0,76.0,0.0,0.0,Galeriden,303500.0
11776,Peugeot,301,1.5 BlueHDI Active,2019.0,117130.0,Düz,Benzin,Sedan,Beyaz,1499.0,102.0,1.0,2.0,Galeriden,700000.0
11777,Peugeot,407,1.6 HDi Executive,2006.0,268000.0,Düz,Dizel,Sedan,Mavi (metalik),1560.0,112.0,0.0,4.0,Sahibinden,427000.0
11778,Peugeot,508,1.5 BlueHDI Allure,2020.0,155000.0,Otomatik,Dizel,Sedan,Gri,1499.0,130.0,0.0,0.0,Galeriden,1410000.0
11779,Peugeot,308,1.6 VTi Envy,2011.0,178000.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1598.0,122.0,1.0,2.0,Sahibinden,540000.0
11780,Peugeot,508,1.6 e-HDi Allure,2011.0,210000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1560.0,114.0,0.0,1.0,Sahibinden,850000.0
11781,Peugeot,508,1.5 BlueHDI GT Line,2020.0,149800.0,Otomatik,Benzin,Sedan,Lacivert,1499.0,130.0,0.0,0.0,Galeriden,1485000.0
11782,Peugeot,206,1.4 Fever,2006.0,224000.0,Otomatik,Benzin,Hatchback/5,Siyah,1360.0,76.0,1.0,9.0,Galeriden,355000.0
11783,Peugeot,301,1.6 HDi Access,2014.0,115000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,2.0,1.0,Sahibinden,540000.0
11784,Peugeot,407,1.6 HDi Comfort,2007.0,390000.0,Düz,Dizel,Sedan,Siyah,1560.0,112.0,0.0,6.0,Sahibinden,395000.0
11785,Peugeot,301,1.6 HDi Active,2015.0,275000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,1.0,2.0,Sahibinden,510000.0
11786,Dacia,Sandero,1.5 dCi Stepway,2010.0,197700.0,Düz,Benzin,Hatchback/5,Gri,1461.0,70.0,0.0,7.0,Galeriden,389999.0
11787,Peugeot,206,1.4 X-Line,2003.0,190000.0,Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1360.0,76.0,2.0,9.0,Sahibinden,350000.0
11788,Dacia,Sandero,1.5 dCi Black Line,2011.0,212600.0,Düz,Dizel,Hatchback/5,Gri,1500.0,63.0,1.0,8.0,Sahibinden,445000.0
11789,Dacia,Sandero,1.5 dCi Ambiance,2014.0,122000.0,Düz,Benzin,Hatchback/5,Beyaz,1461.0,75.0,0.0,0.0,Galeriden,705000.0
11790,Dacia,Sandero,0.9 TCe Stepway Easy-R,2020.0,22000.0,Otomatik,Benzin,Hatchback/5,Mavi,1200.0,88.0,0.0,0.0,Galeriden,865000.0
11791,Dacia,Sandero,1.5 dCi Stepway,2012.0,650000.0,Düz,Benzin,Hatchback/5,Gri,1500.0,88.0,1.0,10.0,Galeriden,295000.0
11792,Dacia,Logan,1.5 dCi Ambiance,2007.0,214000.0,Düz,Benzin,Sedan,Gri,1461.0,68.0,0.0,0.0,Galeriden,315750.0
11793,Dacia,Sandero,0.9 TCe Stepway,2016.0,140600.0,Düz,Benzin,Hatchback/5,Kırmızı,1200.0,88.0,0.0,0.0,Galeriden,635000.0
11794,Dacia,Sandero,1.5 dCi Stepway,2013.0,204000.0,Düz,Dizel,Hatchback/5,Mavi,1461.0,90.0,3.0,3.0,Sahibinden,455000.0
11795,Dacia,Sandero,1.5 dCi Stepway,2013.0,117420.0,Düz,Benzin,Hatchback/5,Kırmızı,1500.0,88.0,0.0,0.0,Galeriden,689999.0
11796,Dacia,Jogger,1.0 Eco-G Expression,2022.0,41000.0,Düz,Benzin,Station wagon,Gri,1200.0,88.0,0.0,0.0,Galeriden,997500.0
11797,Dacia,Logan,1.5 dCi MCV Ambiance,2015.0,162000.0,Düz,Benzin,Station wagon,Beyaz,1461.0,75.0,0.0,0.0,Galeriden,660000.0
11798,Dacia,Sandero,0.9 TCe Stepway,2019.0,70000.0,Düz,Benzin,Hatchback/5,Mavi,898.0,90.0,3.0,0.0,Sahibinden,590000.0
11799,Dacia,Logan,1.5 dCi Ambiance,2012.0,305000.0,Düz,Benzin,Sedan,Gri,1461.0,75.0,0.0,1.0,Galeriden,345000.0
11800,Dacia,Lodgy,1.5 dCi Laureate,2013.0,215000.0,Düz,Dizel,MPV,Beyaz,1461.0,90.0,1.0,3.0,Sahibinden,565000.0
11801,Dacia,Sandero,1.5 dCi Ambiance,2012.0,240840.0,Düz,Benzin,Hatchback/5,Siyah,1461.0,70.0,1.0,4.0,Galeriden,440000.0
11802,Dacia,Sandero,1.0 Ambiance,2019.0,105000.0,Düz,Benzin,Hatchback/5,Mavi (metalik),999.0,75.0,4.0,7.0,Galeriden,475000.0
11803,Dacia,Sandero,1.5 dCi Stepway,2014.0,380000.0,Düz,Dizel,Hatchback/5,Bordo,1461.0,90.0,,,Sahibinden,365000.0
11804,Dacia,Sandero,1.0T ECO-G Comfort,2021.0,116000.0,Düz,Benzin,Hatchback/5,Mavi,1200.0,88.0,,,Galeriden,850000.0
11805,Dacia,Logan,1.4 Laureate,2005.0,225000.0,Düz,Benzin,Sedan,Gri,1390.0,75.0,0.0,11.0,Galeriden,275000.0
11806,Dacia,Sandero,1.5 dCi Ambiance,2014.0,137000.0,Düz,Dizel,Hatchback/5,Gri,1461.0,75.0,0.0,0.0,Sahibinden,595000.0
11807,Dacia,Logan,1.5 dCi Ambiance,2010.0,315000.0,Düz,Dizel,Pick-up,Lacivert,1461.0,70.0,3.0,6.0,Galeriden,360000.0
11808,Dacia,Logan,1.5 dCi Ambiance,2012.0,293000.0,Düz,Benzin,Sedan,Beyaz,1461.0,75.0,1.0,9.0,Galeriden,322000.0
11809,Dacia,Sandero,1.5 dCi Stepway,2016.0,244000.0,Düz,Dizel,Hatchback/5,Gri,1461.0,90.0,2.0,2.0,Galeriden,475000.0
