id,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat,model_tam
22281,Volvo,S60,1.6 D Premium,2013.0,280000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560.0,115.0,,,Sahibinden,950000.0,S60 1.6 D Premium
22282,Volvo,S40,1.6 D Prime,2008.0,251850.0,Düz,Dizel,Sedan,Gri (Gümüş),1560.0,109.0,1.0,4.0,Sahibinden,477500.0,S40 1.6 D Prime
22283,Volvo,V40,1.5 T3 Inscription,2018.0,104000.0,Otomatik,Benzin,Hatchback/5,Mavi,1500.0,163.0,0.0,1.0,Galeriden,1399000.0,V40 1.5 T3 Inscription
22284,Volvo,S40,2.0 D,2011.0,400000.0,Düz,Dizel,Sedan,Beyaz,1997.0,136.0,,,Sahibinden,450000.0,S40 2.0 D
22285,Volvo,S40,1.6 D Premium,2009.0,194500.0,Düz,Dizel,Sedan,Gri (Gümüş),1560.0,109.0,0.0,4.0,Sahibinden,650000.0,S40 1.6 D Premium
22286,Volvo,S60,1.6 D Advance,2014.0,235000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560.0,115.0,0.0,0.0,Sahibinden,1100000.0,S60 1.6 D Advance
22287,Volvo,S60,1.6 D Advance,2015.0,185000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1560.0,115.0,,,Sahibinden,1200000.0,S60 1.6 D Advance
22288,Volvo,S40,1.6 D Dynamic,2011.0,125500.0,Düz,Dizel,Sedan,Gri (Gümüş),1560.0,115.0,0.0,0.0,Sahibinden,795000.0,S40 1.6 D Dynamic
22289,Volvo,V50,1.6 D Premium,2008.0,217000.0,Düz,Dizel,Station wagon,Mavi (metalik),1560.0,109.0,0.0,2.0,Sahibinden,695000.0,V50 1.6 D Premium
22290,Volvo,S60,2.0 B5 Plus Dark,2023.0,48130.0,Otomatik,Benzin,Sedan,Gri,1900.0,238.0,0.0,1.0,Galeriden,2995000.0,S60 2.0 B5 Plus Dark
22291,Volvo,V40,1.6 D Advance,2013.0,170700.0,Düz,Dizel,Hatchback/5,Beyaz,1560.0,115.0,0.0,0.0,Sahibinden,900000.0,V40 1.6 D Advance
22292,Volvo,S40,1.6,2005.0,276400.0,Düz,LPG & Benzin,Sedan,Mavi,1596.0,100.0,0.0,4.0,Sahibinden,480000.0,S40 1.6
22293,Volvo,S60,1.5 T3 Advance,2017.0,75000.0,Otomatik,Benzin,Sedan,Beyaz,1498.0,152.0,0.0,3.0,Sahibinden,1339000.0,S60 1.5 T3 Advance
22294,Volvo,C30,1.6 D Premium,2012.0,202000.0,Düz,Benzin,Hatchback/3,Beyaz,1500.0,113.0,0.0,0.0,Galeriden,660000.0,C30 1.6 D Premium
22295,Volvo,V70,2.3 T5,1999.0,190000.0,Otomatik,Benzin,Station wagon,Mavi,2250.0,238.0,0.0,0.0,Galeriden,2150000.0,V70 2.3 T5
22296,Volvo,S40,1.6 D,2010.0,322000.0,Düz,Dizel,Sedan,Siyah,1560.0,115.0,0.0,5.0,Sahibinden,420000.0,S40 1.6 D
22297,Volvo,S40,1.6 D Dynamic,2009.0,336000.0,Düz,Dizel,Sedan,Gri,1560.0,109.0,0.0,4.0,Galeriden,515000.0,S40 1.6 D Dynamic
22298,Volvo,S60,1.6 D Premium,2015.0,220000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560.0,115.0,0.0,0.0,Galeriden,999950.0,S60 1.6 D Premium
22299,Volvo,S60,1.6 D Advance,2012.0,212000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560.0,115.0,0.0,2.0,Sahibinden,875000.0,S60 1.6 D Advance
22300,Volvo,V90 Cross Country,2.0 B5 Ultimate Bright,2023.0,85000.0,Otomatik,Dizel,Station wagon,Siyah,1900.0,238.0,0.0,0.0,Galeriden,3700000.0,V90 Cross Country 2.0 B5 Ultimate Bright
22301,Volvo,S40,1.6 D,2006.0,187000.0,Düz,Dizel,Sedan,Mavi,1560.0,109.0,0.0,6.0,Sahibinden,585000.0,S40 1.6 D
22302,Volvo,S40,1.6,2000.0,296000.0,Düz,Benzin,Sedan,Beyaz,1587.0,109.0,0.0,1.0,Sahibinden,290000.0,S40 1.6
22303,Volvo,S40,1.6 D Dynamic,2008.0,352000.0,Düz,Dizel,Sedan,Füme,1560.0,109.0,3.0,6.0,Sahibinden,550000.0,S40 1.6 D Dynamic
22304,Volvo,V40,1.6 D Premium,2014.0,138000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560.0,115.0,0.0,0.0,Sahibinden,990000.0,V40 1.6 D Premium
22305,Volvo,S60,1.6 D Advance,2015.0,81000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560.0,115.0,1.0,0.0,Sahibinden,1500000.0,S60 1.6 D Advance
22306,Volvo,S80,1.6 D Premium,2015.0,260000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,1.0,1.0,Galeriden,1150000.0,S80 1.6 D Premium
22307,Volvo,S60,2.4 D Premium,2010.0,262000.0,Otomatik,Dizel,Sedan,Füme,2400.0,185.0,1.0,10.0,Sahibinden,450000.0,S60 2.4 D Premium
22308,Volvo,S60,1.6 D Premium,2014.0,341000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560.0,115.0,0.0,3.0,Sahibinden,795000.0,S60 1.6 D Premium
22309,BMW,5 Serisi,520i Premium,2015.0,209500.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,2.0,3.0,Galeriden,1375000.0,5 Serisi 520i Premium
22310,Volvo,S40,1.6 D,2010.0,264000.0,Düz,Dizel,Sedan,Gri,1560.0,109.0,0.0,2.0,Sahibinden,623000.0,S40 1.6 D
22311,Volvo,S40,1.8,2001.0,326000.0,Otomatik,LPG & Benzin,Sedan,Yeşil,1783.0,122.0,0.0,0.0,Sahibinden,345000.0,S40 1.8
22312,Volvo,850,GLE,1995.0,310000.0,Düz,LPG & Benzin,Sedan,Lacivert,1984.0,140.0,,,Sahibinden,189000.0,850 GLE
22313,Volvo,S40,1.6,2001.0,242350.0,Düz,LPG & Benzin,Sedan,Lacivert,1587.0,109.0,0.0,0.0,Sahibinden,330000.0,S40 1.6
22314,BMW,5 Serisi,520i Luxury Line,2021.0,110000.0,Otomatik,Benzin,Sedan,Füme,1500.0,163.0,1.0,7.0,Galeriden,2790000.0,5 Serisi 520i Luxury Line
22315,BMW,3 Serisi,320d Premium Line,2018.0,108000.0,Otomatik,Benzin,Sedan,Siyah,1995.0,190.0,,,Galeriden,1750000.0,3 Serisi 320d Premium Line
22316,BMW,1 Serisi,116i Urban Line,2012.0,115000.0,Otomatik,Benzin,Hatchback/5,Mavi,1500.0,138.0,0.0,5.0,Galeriden,910000.0,1 Serisi 116i Urban Line
22317,BMW,3 Serisi,316i Standart,1994.0,300000.0,Düz,LPG & Benzin,Sedan,Gri,1596.0,99.0,,,Sahibinden,475000.0,3 Serisi 316i Standart
22318,BMW,5 Serisi,520i Luxury Line,2021.0,77000.0,Otomatik,Benzin,Sedan,Füme,1597.0,170.0,1.0,4.0,Sahibinden,3250000.0,5 Serisi 520i Luxury Line
22319,BMW,1 Serisi,118i Joy Plus,2016.0,169000.0,Otomatik,Benzin,Hatchback/5,Siyah,1500.0,138.0,2.0,3.0,Galeriden,1035000.0,1 Serisi 118i Joy Plus
22320,BMW,5 Serisi,520i M Sport,2024.0,12500.0,Otomatik,Benzin,Sedan,Gri,1500.0,188.0,0.0,0.0,Galeriden,5450000.0,5 Serisi 520i M Sport
22321,BMW,5 Serisi,520d xDrive Luxury Line,2018.0,105000.0,Otomatik,Benzin,Sedan,Siyah,1995.0,190.0,0.0,6.0,Galeriden,2670000.0,5 Serisi 520d xDrive Luxury Line
22322,BMW,3 Serisi,320i ED Modern Line Plus,2014.0,243500.0,Otomatik,Benzin,Sedan,Lacivert,1500.0,163.0,0.0,6.0,Galeriden,1150000.0,3 Serisi 320i ED Modern Line Plus
22323,BMW,i Serisi,i5 eDrive30 M Sport,2024.0,18945.0,Otomatik,Benzin,Sedan,Gri,,213.0,0.0,0.0,Galeriden,4325000.0,i Serisi i5 eDrive30 M Sport
22324,BMW,1 Serisi,116d Joy Plus,2015.0,182000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1496.0,116.0,0.0,3.0,Galeriden,999900.0,1 Serisi 116d Joy Plus
