marka,model_tam,yil,km,fiyat,renk,sehir,ilce,satici_tipi,seri,trim
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2015,240.0,645.000 TL,Gri,İstanbul,Maltepe,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2017,171.0,1.135.000 TL,Beyaz,Isparta,Merkez,Galeriden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,292.0,665.000 TL,Siyah,İstanbul,Bağcılar,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB Progression Plus,2012,270.0,715.000 TL,Beyaz,Konya,Karatay,Galeriden,Giulietta,1.4 TB Progression Plus
Alfa Romeo,156 1.6 TS,2001,303.0,140.000 TL,Gümüş Gri,Malatya,Yeşilyurt,Sahibinden,156,1.6 TS
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,269.0,699.000 TL,Siyah,Ankara,Akyurt,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2004,264.0,399.750 TL,Siyah,Ankara,Keçiören,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,159 1.9 JTD Distinctive,2007,242.0,610.000 TL,Gümüş Gri,Bursa,Osmangazi,Sahibinden,159,1.9 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2016,173.0,1.200.000 TL,Beyaz,Ankara,Gölbaşı,Sahibinden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,156 2.0 TS Selespeed,2000,355.0,489.000 TL,Yeşil,Bursa,İnegöl,Galeriden,156,2.0 TS Selespeed
Alfa Romeo,156 1.6 TS Distinctive,2006,297.3,340.000 TL,Bej,İzmir,Buca,Sahibinden,156,1.6 TS Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2005,286.0,375.000 TL,Gümüş Gri,Malatya,Yeşilyurt,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,147 1.9 JTD Q2,2007,281.5,580.000 TL,Siyah,İzmir,Gaziemir,Sahibinden,147,1.9 JTD Q2
Alfa Romeo,147 2.0 TS Distinctive,2003,208.611,635.000 TL,Siyah,İstanbul,Sancaktepe,Galeriden,147,2.0 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2012,239.0,710.000 TL,Beyaz,Ankara,Keçiören,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,230.0,700.000 TL,Beyaz,İstanbul,Güngören,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 1.6 TS,2001,245.0,300.000 TL,Gümüş Gri,Konya,Selçuklu,Sahibinden,156,1.6 TS
Alfa Romeo,156 2.0 TS,2002,169.0,205.000 TL,Beyaz,Muğla,Milas,Sahibinden,156,2.0 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,202.0,845.000 TL,Kırmızı,İstanbul,Sarıyer,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,MiTo 1.4 T Distinctive,2009,174.0,745.000 TL,Mavi,Kocaeli,Gölcük,Sahibinden,MiTo,1.4 T Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,370.0,559.000 TL,Beyaz,Kocaeli,İzmit,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,MiTo 1.3 JTD City,2013,218.25,574.900 TL,Beyaz,İstanbul,Ataşehir,Galeriden,MiTo,1.3 JTD City
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,192.0,789.900 TL,Kırmızı,İstanbul,Ümraniye,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,301.0,665.000 TL,Beyaz,Gaziantep,Şehitkamil,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,300.0,610.000 TL,Siyah,Ankara,Akyurt,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2006,115.0,730.000 TL,Siyah,İstanbul,Bakırköy,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2015,177.0,765.900 TL,Beyaz,Bursa,Nilüfer,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2018,80.2,1.359.000 TL,Gri,İstanbul,Ümraniye,Sahibinden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,GT 2.0 JTS Dis.Selespeed,2006,266.0,440.000 TL,Gri,İstanbul,Sarıyer,Galeriden,GT,2.0 JTS Dis.Selespeed
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,42.0,1.190.000 TL,Beyaz,Bursa,Nilüfer,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2014,183.5,850.000 TL,Beyaz,İstanbul,Esenyurt,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,171.653,695.000 TL,Siyah,İstanbul,Başakşehir,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.4 TB Progression Plus,2014,282.0,589.000 TL,Beyaz,Ankara,Yenimahalle,Galeriden,Giulietta,1.4 TB Progression Plus
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,240.0,810.000 TL,Beyaz,Bursa,Osmangazi,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,199.0,630.000 TL,Beyaz,Hatay,Arsuz,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,226.0,935.000 TL,Beyaz,Bursa,İnegöl,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,159 1.9 JTD Distinctive Plus,2009,264.0,789.900 TL,Beyaz,İstanbul,Bahçelievler,Galeriden,159,1.9 JTD Distinctive Plus
Alfa Romeo,156 1.6 TS Distinctive,2006,270.0,325.000 TL,Gümüş Gri,Tekirdağ,Marmaraereğlisi,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,156 1.6 TS,1999,318.0,175.000 TL,Gümüş Gri,Ankara,Sincan,Galeriden,156,1.6 TS
Alfa Romeo,159 1.8 MPI Distinctive,2008,269.75,557.000 TL,Gümüş Gri,Antalya,Muratpaşa,Galeriden,159,1.8 MPI Distinctive
Alfa Romeo,MiTo 1.3 JTD City,2013,218.25,489.000 TL,Beyaz,Ankara,Sincan,Galeriden,MiTo,1.3 JTD City
Alfa Romeo,156 2.0 TS,1999,176.0,349.000 TL,Gümüş Gri,Sakarya,Serdivan,Sahibinden,156,2.0 TS
Alfa Romeo,147 1.6 TS Distinctive,2008,240.0,330.000 TL,Siyah,Gaziantep,Şehitkamil,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,MiTo 1.4 T Distinctive,2011,148.05,825.000 TL,Beyaz,İzmir,Menemen,Sahibinden,MiTo,1.4 T Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2004,225.0,389.750 TL,Bordo,Ankara,Keçiören,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,178.0,645.000 TL,Kırmızı,Siirt,Merkez,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,195.0,689.950 TL,Kırmızı,İstanbul,Esenyurt,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Sprint,2020,91.0,1.359.000 TL,Beyaz,Bursa,Osmangazi,Galeriden,Giulietta,1.6 JTD Sprint
Alfa Romeo,Giulietta 1.6 JTD Progression,2016,209.256,825.000 TL,Beyaz,Adana,Seyhan,Galeriden,Giulietta,1.6 JTD Progression
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2018,103.358,1.269.000 TL,Beyaz,İzmir,Gaziemir,Galeriden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,133.0,920.000 TL,Kırmızı,Gaziantep,Şehitkamil,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 2.0 JTS Distinctive,2004,300.0,350.000 TL,Siyah,İzmir,Aliağa,Galeriden,156,2.0 JTS Distinctive
Alfa Romeo,156 2.0 TS Selespeed SR,2001,335.0,425.000 TL,Lacivert,İzmir,Buca,Sahibinden,156,2.0 TS Selespeed SR
Alfa Romeo,156 2.0 TS,1998,320.0,200.000 TL,Gri,Sinop,Gerze,Sahibinden,156,2.0 TS
Alfa Romeo,159 1.9 JTS Distinctive,2006,286.0,589.000 TL,Gümüş Gri,Afyonkarahisar,Merkez,Sahibinden,159,1.9 JTS Distinctive
Alfa Romeo,159 1.9 JTD Distinctive Plus,2007,477.0,550.000 TL,Siyah,Iğdır,Merkez,Sahibinden,159,1.9 JTD Distinctive Plus
Alfa Romeo,159 1.9 JTD Distinctive,2008,306.0,580.000 TL,Lacivert,İstanbul,Başakşehir,Sahibinden,159,1.9 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,218.0,790.000 TL,Beyaz,İstanbul,Sultanbeyli,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2005,200.0,405.000 TL,Gümüş Gri,İstanbul,Esenler,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,159 1.9 JTS Distinctive,2008,164.0,420.000 TL,Siyah,İstanbul,Başakşehir,Galeriden,159,1.9 JTS Distinctive
Alfa Romeo,MiTo 1.3 JTD City,2013,193.4,650.000 TL,Beyaz,İzmir,Karşıyaka,Sahibinden,MiTo,1.3 JTD City
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,200.0,780.000 TL,Mavi,Bilecik,Bozüyük,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,159 1.9 JTS Distinctive,2008,330.0,595.000 TL,Siyah,Kütahya,Merkez,Galeriden,159,1.9 JTS Distinctive
Alfa Romeo,MiTo 1.4 T Distinctive,2009,200.0,575.000 TL,Kırmızı,Mersin,Bozyazı,Sahibinden,MiTo,1.4 T Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Super TCT,2018,85.0,1.150.000 TL,Beyaz,İstanbul,Bayrampaşa,Galeriden,Giulietta,1.4 TB MultiAir Super TCT
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,195.0,850.000 TL,Beyaz,Kahramanmaraş,Onikişubat,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulia 2.0 T Veloce,2021,103.0,3.150.000 TL,Siyah,İstanbul,Beşiktaş,Galeriden,Giulia,2.0 T Veloce
Alfa Romeo,Giulia 2.0 T Veloce,2022,21.0,4.450.000 TL,Gri,Ankara,Akyurt,Galeriden,Giulia,2.0 T Veloce
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2013,135.0,1.050.000 TL,Beyaz,İzmir,Gaziemir,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2015,202.0,675.000 TL,Kırmızı,Mersin,Tarsus,Galeriden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,147 1.6 TS Progression,2004,243.0,145.000 TL,Kırmızı,Ankara,Beypazarı,Galeriden,147,1.6 TS Progression
Alfa Romeo,159 1.9 JTS Distinctive,2008,195.0,850.000 TL,Siyah,Konya,Karatay,Galeriden,159,1.9 JTS Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2006,201.0,425.000 TL,Bej,Muğla,Milas,Sahibinden,156,1.6 TS Distinctive
Alfa Romeo,156 1.6 TS,2001,219.0,275.000 TL,Siyah,İzmir,Bayraklı,Galeriden,156,1.6 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Super TCT,2016,148.0,1.125.000 TL,Beyaz,Eskişehir,Odunpazarı,Galeriden,Giulietta,1.4 TB MultiAir Super TCT
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2011,186.0,895.000 TL,Gri,İstanbul,Ümraniye,Galeriden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,154.0,1.025.000 TL,Beyaz,Ankara,Çankaya,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,156 2.0 TS,1998,274.75,339.900 TL,Mavi,İzmir,Bornova,Galeriden,156,2.0 TS
Alfa Romeo,159 1.9 JTD Distinctive,2008,296.0,625.000 TL,Siyah,Düzce,Merkez,Sahibinden,159,1.9 JTD Distinctive
Alfa Romeo,156 1.6 TS,1998,290.0,210.000 TL,Yeşil,Konya,Karatay,Galeriden,156,1.6 TS
Alfa Romeo,156 1.6 TS,2002,237.0,365.000 TL,Kırmızı,Bursa,Mustafakemalpaşa,Sahibinden,156,1.6 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Progression Pluse,2012,205.0,795.000 TL,Beyaz,Muğla,Bodrum,Sahibinden,Giulietta,1.4 TB MultiAir Progression Pluse
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2015,152.0,1.225.000 TL,Gri,Ankara,Çankaya,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,271.0,695.000 TL,Beyaz,Bursa,Osmangazi,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,166 2.0 TS,1999,311.0,230.000 TL,Mavi,İstanbul,Kartal,Galeriden,166,2.0 TS
Alfa Romeo,Giulietta 1.4 TB Progression Plus,2014,106.0,1.050.000 TL,Beyaz,İstanbul,Küçükçekmece,Sahibinden,Giulietta,1.4 TB Progression Plus
Alfa Romeo,156 1.6 TS Distinctive,2004,173.0,400.000 TL,Bordo,İstanbul,Eyüpsultan,Sahibinden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD TI,2020,62.0,1.085.000 TL,Mavi,Mersin,Erdemli,Galeriden,Giulietta,1.6 JTD TI
Alfa Romeo,145 1.6,1996,260.0,149.000 TL,Yeşil,Eskişehir,Odunpazarı,Sahibinden,145,1.6
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,159.0,760.000 TL,Kırmızı,İstanbul,Beşiktaş,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,166 2.0 TB,1999,69.4,730.000 TL,Gümüş Gri,Adana,Seyhan,Sahibinden,166,2.0 TB
Alfa Romeo,156 1.6 TS Distinctive,2005,360.0,299.999 TL,Mavi,Yalova,Merkez,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,225.0,685.000 TL,Beyaz,İstanbul,Şişli,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2007,188.0,310.000 TL,Kırmızı,İzmir,Bornova,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,MiTo 1.4 T Distinctive,2010,205.0,420.000 TL,Kırmızı,Kocaeli,Gebze,Sahibinden,MiTo,1.4 T Distinctive
Alfa Romeo,156 2.0 TS,1999,279.0,285.000 TL,Gri,Antalya,Konyaaltı,Sahibinden,156,2.0 TS
Alfa Romeo,GT 1.9 JTD Q2,2007,340.0,580.000 TL,Siyah,Ankara,Yenimahalle,Galeriden,GT,1.9 JTD Q2
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2015,120.0,899.999 TL,Kırmızı,Eskişehir,Tepebaşı,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,193.5,847.500 TL,Kırmızı,İstanbul,Kadıköy,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2014,140.817,810.000 TL,Füme,İstanbul,Kadıköy,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,156 2.0 JTS Distinctive,2004,273.0,419.000 TL,Gümüş Gri,İstanbul,Ümraniye,Galeriden,156,2.0 JTS Distinctive
Alfa Romeo,159 1.9 JTD Distinctive,2007,285.0,420.000 TL,Gri,İstanbul,Beylikdüzü,Sahibinden,159,1.9 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2013,236.0,940.000 TL,Kırmızı,Kastamonu,Merkez,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,MiTo 1.3 JTD City,2012,177.0,610.000 TL,Gri,İstanbul,Kadıköy,Sahibinden,MiTo,1.3 JTD City
Alfa Romeo,Giulietta 1.6 JTD Progression,2017,128.0,1.300.000 TL,Füme,İstanbul,Beylikdüzü,Sahibinden,Giulietta,1.6 JTD Progression
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2011,300.0,625.000 TL,Beyaz,Rize,Merkez,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2015,257.0,730.000 TL,Beyaz,İstanbul,Küçükçekmece,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,197.8,899.000 TL,Beyaz,Konya,Karatay,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,249.0,685.000 TL,Gri,Bursa,Osmangazi,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2015,198.0,819.000 TL,Beyaz,Bursa,Osmangazi,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,33 1.5 Giardinetta,1990,93.558,231.000 TL,Kırmızı,Denizli,Acıpayam,Sahibinden,33,1.5 Giardinetta
Alfa Romeo,147 1.6 TS Distinctive,2004,245.0,285.000 TL,Siyah,İstanbul,Fatih,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,187.563,865.000 TL,Beyaz,Karaman,Merkez,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,MiTo 1.4 T MultiAir Distinctive,2011,225.0,680.000 TL,Kırmızı,İstanbul,Bağcılar,Sahibinden,MiTo,1.4 T MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,215.0,820.000 TL,Beyaz,Kocaeli,İzmit,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2011,270.0,645.031 TL,Kırmızı,Mersin,Yenişehir,Galeriden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,156 1.6 TS Distinctive,2005,280.0,390.000 TL,Siyah,Denizli,Pamukkale,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2015,319.0,565.000 TL,Beyaz,Mersin,Mezitli,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,159 1.9 JTD Distinctive,2006,380.0,520.000 TL,Gri,İzmir,Bayraklı,Sahibinden,159,1.9 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,129.0,1.000.000 TL,Siyah,Ankara,Keçiören,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2014,170.0,915.000 TL,Beyaz,Adana,Çukurova,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,GTV 2.0 TS,2004,215.0,350.000 TL,Bordo,Gaziantep,Şahinbey,Sahibinden,GTV,2.0 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2013,185.176,940.000 TL,Beyaz,Kocaeli,Başiskele,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2015,49.0,1.335.000 TL,Beyaz,İstanbul,Beykoz,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,156 2.0 TS,1998,400.0,225.000 TL,Siyah,Ankara,Çankaya,Sahibinden,156,2.0 TS
Alfa Romeo,147 1.6 TS Progression,2004,255.0,250.000 TL,Gri,Çorum,Merkez,Sahibinden,147,1.6 TS Progression
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,250.0,650.000 TL,Kırmızı,Antalya,Muratpaşa,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,207.1,750.000 TL,Siyah,Antalya,Konyaaltı,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2006,177.0,420.000 TL,Siyah,İzmir,Konak,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,159 1.9 JTD Distinctive Plus,2010,293.0,725.000 TL,Beyaz,İstanbul,Sarıyer,Galeriden,159,1.9 JTD Distinctive Plus
Alfa Romeo,156 1.6 TS,2001,281.0,295.000 TL,Siyah,Ankara,Çankaya,Sahibinden,156,1.6 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2014,146.1,960.000 TL,Kırmızı,Ankara,Etimesgut,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,147 2.0 TS Distinctive,2005,187.0,420.000 TL,Gri,Sivas,Merkez,Sahibinden,147,2.0 TS Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,97.0,975.000 TL,Gri,Balıkesir,Karesi,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,147 1.6 TS Black Line,2005,342.0,349.999 TL,Kırmızı,Kocaeli,Gölcük,Galeriden,147,1.6 TS Black Line
Alfa Romeo,147 1.6 TS Distinctive,2006,230.0,398.750 TL,Bordo,Ankara,Keçiören,Galeriden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression,2018,172.0,1.139.000 TL,Gri,Ankara,Akyurt,Galeriden,Giulietta,1.6 JTD Progression
Alfa Romeo,145 1.4 TS STD,1999,199.0,132.000 TL,Kırmızı,İstanbul,Tuzla,Sahibinden,145,1.4 TS STD
Alfa Romeo,147 1.6 TS Distinctive,2004,330.0,320.000 TL,Kırmızı,Samsun,İlkadım,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2017,165.0,1.065.000 TL,Kırmızı,Ankara,Akyurt,Galeriden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,278.0,579.500 TL,Beyaz,İstanbul,Ümraniye,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,159 2.4 JTD Distinctive,2006,225.0,850.000 TL,Füme,Ankara,Yenimahalle,Galeriden,159,2.4 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression,2016,226.0,880.000 TL,Kırmızı,Trabzon,Ortahisar,Sahibinden,Giulietta,1.6 JTD Progression
Alfa Romeo,156 1.6 TS Distinctive,2006,280.0,299.000 TL,Gri,İstanbul,Sultanbeyli,Sahibinden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,199.1,650.000 TL,Kırmızı,İstanbul,Eyüpsultan,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Sprint,2020,124.0,1.200.000 TL,Kırmızı,İstanbul,Beylikdüzü,Sahibinden,Giulietta,1.6 JTD Sprint
Alfa Romeo,147 1.6 TS Distinctive,2006,240.0,425.000 TL,Kırmızı,İstanbul,Sarıyer,Galeriden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2015,43.037,1.200.000 TL,Gri,İstanbul,Beylikdüzü,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2004,271.0,290.000 TL,Gümüş Gri,Mersin,Mezitli,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,186.0,729.900 TL,Beyaz,Adana,Seyhan,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulia 2.0 T Veloce,2022,32.0,2.649.000 TL,Beyaz,Sakarya,Adapazarı,Galeriden,Giulia,2.0 T Veloce
Alfa Romeo,166 3.0 Sportronic,2004,230.0,950.000 TL,Siyah,Kocaeli,Kartepe,Galeriden,166,3.0 Sportronic
Alfa Romeo,Giulietta 1.6 JTD Progression,2016,235.0,805.000 TL,Beyaz,İstanbul,Maltepe,Galeriden,Giulietta,1.6 JTD Progression
Alfa Romeo,147 1.6 TS Distinctive,2004,404.0,249.999 TL,Füme,Muğla,Köyceğiz,Galeriden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,240.0,675.000 TL,Beyaz,İstanbul,Pendik,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2015,144.0,760.000 TL,Kırmızı,İstanbul,Sultanbeyli,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2004,219.0,420.000 TL,Bordo,Bursa,Karacabey,Sahibinden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,220.0,670.000 TL,Gri,İstanbul,Eyüpsultan,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,182.0,870.000 TL,Beyaz,Ankara,Sincan,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,159 1.8 TBI Distinctive Plus,2010,245.0,880.000 TL,Siyah,İstanbul,Maltepe,Sahibinden,159,1.8 TBI Distinctive Plus
Alfa Romeo,147 1.6 TS Distinctive,2004,173.0,395.000 TL,Kırmızı,Bursa,Osmangazi,Galeriden,147,1.6 TS Distinctive
Alfa Romeo,156 2.0 TS,1999,307.75,320.000 TL,Lacivert,İzmir,Gaziemir,Sahibinden,156,2.0 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2014,139.0,945.000 TL,Beyaz,İstanbul,Ataşehir,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,270.0,780.000 TL,Kırmızı,İstanbul,Küçükçekmece,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Sprint,2020,163.695,1.130.000 TL,Beyaz,Denizli,Merkezefendi,Galeriden,Giulietta,1.6 JTD Sprint
Alfa Romeo,147 1.6 TS Progression,2003,184.0,250.000 TL,Siyah,Ankara,Sincan,Sahibinden,147,1.6 TS Progression
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,248.0,690.000 TL,Beyaz,İstanbul,Esenler,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,275.0,650.000 TL,Beyaz,İstanbul,Sarıyer,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2016,167.0,1.030.000 TL,Kırmızı,İzmir,Gaziemir,Sahibinden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,147 1.6 TS Distinctive,2005,220.0,375.000 TL,Gümüş Gri,Sakarya,Erenler,Galeriden,147,1.6 TS Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2005,292.0,350.000 TL,Gri,İzmir,Narlıdere,Sahibinden,147,1.6 TS Distinctive
