marka,model_tam,yil,km,fiyat,renk,sehir,ilce,satici_tipi,seri,trim
BMW,5 Serisi 520d Premium,2008,108.0,1.788.000 TL,Beyaz,Ankara,Etimesgut,Sahibinden,5 Serisi,520d Premium
BMW,5 Serisi 525d xDrive Exclusive,2012,338.0,1.300.000 TL,Siyah,Kocaeli,Başiskele,Galeriden,5 Serisi,525d xDrive Exclusive
BMW,4 Serisi 420i Gran Coupe Edition M Sport,2024,55.0,4.975.000 TL,Lacivert,İstanbul,Başakşehir,Galeriden,4 Serisi,420i Gran Coupe Edition M Sport
BMW,5 Serisi 525d xDrive Premium,2012,290.0,1.225.000 TL,Gri,İstanbul,Sultangazi,Galeriden,5 Serisi,525d xDrive Premium
BMW,3 Serisi 320d Luxury,2012,261.0,1.190.000 TL,Beyaz,Batman,Merkez,Sahibinden,3 Serisi,320d Luxury
BMW,1 Serisi 118i First Edition M Sport,2020,53.0,2.040.000 TL,Füme,Konya,Karatay,Galeriden,1 Serisi,118i First Edition M Sport
BMW,3 Serisi 320i ED Sport Line,2015,179.0,1.700.000 TL,Beyaz,Tokat,Niksar,Sahibinden,3 Serisi,320i ED Sport Line
BMW,3 Serisi 320i ED 40th Year Edition,2015,169.0,1.739.000 TL,Beyaz,İstanbul,Başakşehir,Galeriden,3 Serisi,320i ED 40th Year Edition
BMW,3 Serisi 316i M Sport,2013,208.0,1.035.000 TL,Siyah,İstanbul,Bağcılar,Galeriden,3 Serisi,316i M Sport
BMW,3 Serisi 320i ED Sport Line,2016,230.0,1.629.000 TL,Şampanya,Ankara,Kahramankazan,Galeriden,3 Serisi,320i ED Sport Line
BMW,3 Serisi 320i,1998,159.0,537.000 TL,Beyaz,İstanbul,Bahçelievler,Sahibinden,3 Serisi,320i
BMW,i Serisi i4 eDrive 40,2024,10.795,4.269.000 TL,Kırmızı,Konya,Selçuklu,Galeriden,i Serisi,i4 eDrive 40
BMW,2 Serisi 216d Gran Coupe M Sport,2022,115.0,2.125.000 TL,Mavi,Antalya,Muratpaşa,Galeriden,2 Serisi,216d Gran Coupe M Sport
BMW,3 Serisi 320d Modern Line,2014,254.0,1.300.000 TL,Gri,İstanbul,Avcılar,Sahibinden,3 Serisi,320d Modern Line
BMW,i Serisi i4 eDrive 40,2024,27.0,3.595.000 TL,Siyah,Konya,Karatay,Galeriden,i Serisi,i4 eDrive 40
