konum,fiyat,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali,model_tam
 Balıkesir,358500.0,Peugeot,206,1.4 X-Line,2005,189500.0,Düz,Benzin,Hatchback/5,1360.0,76.0,Önden Çekiş,6.4,50.0,858.0,0,2,206 1.4 X-Line
 Balıkesir,365000.0,Fiat,Linea,1.3 Multijet Active Plus,2011,245000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,4.9,45.0,0.0,0,2,Linea 1.3 Multijet Active Plus
 Balıkesir,560000.0,Opel,Astra,1.6 Enjoy,2006,195000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,105.0,Önden Çekiş,6.6,52.0,0.0,0,0,Astra 1.6 Enjoy
 Balıkesir,985000.0,Volkswagen,Jetta,1.2 TSi BlueMotion Trendline,2017,128000.0,Düz,Benzin,Sedan,1197.0,105.0,Önden Çekiş,5.0,55.0,0.0,0,0,Jetta 1.2 TSi BlueMotion Trendline
 Balıkesir,268000.0,Volkswagen,Polo,1.6 Classic,1999,290000.0,Düz,Benzin,Sedan,1401.0,76.0,Önden Çekiş,7.9,45.0,0.0,0,0,Polo 1.6 Classic
 Balıkesir,1480000.0,Toyota,Corolla,1.5 Dream,2022,41900.0,Otomatik,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,50.0,0.0,0,0,Corolla 1.5 Dream
 Balıkesir,1510000.0,Toyota,Corolla,1.5 Dream,2023,18000.0,Otomatik,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,50.0,0.0,0,0,Corolla 1.5 Dream
 Balıkesir,917000.0,Toyota,Corolla,1.33 Life,2017,93000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,5.8,55.0,0.0,0,0,Corolla 1.33 Life
 Balıkesir,345000.0,Opel,Astra,1.6 CD,2000,388000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,100.0,Önden Çekiş,7.4,52.0,0.0,0,0,Astra 1.6 CD
 Balıkesir,295000.0,Opel,Corsa,1.4 GLS,1998,211000.0,Düz,LPG & Benzin,Hatchback/5,1389.0,90.0,Önden Çekiş,7.4,42.0,0.0,0,0,Corsa 1.4 GLS
 Balıkesir,995000.0,Volkswagen,Golf,1.2 TSi Comfortline,2015,138000.0,Düz,Benzin,Hatchback/5,1197.0,110.0,Önden Çekiş,4.9,50.0,0.0,0,0,Golf 1.2 TSi Comfortline
 Balıkesir,610000.0,Ford,Fiesta,1.4 TDCi Titanium,2011,155000.0,Düz,Dizel,Hatchback/5,1398.0,70.0,Önden Çekiş,4.2,45.0,500.0,1,3,Fiesta 1.4 TDCi Titanium
 Balıkesir,899000.0,Renault,Clio,1.0 SCe Joy,2023,20905.0,Düz,Benzin,Hatchback/5,1200.0,51.0,Önden Çekiş,4.9,42.0,0.0,0,0,Clio 1.0 SCe Joy
 Balıkesir,645000.0,Volkswagen,Polo,1.2 Trendline,2012,126000.0,Düz,Benzin,Hatchback/5,1198.0,70.0,Önden Çekiş,5.5,45.0,0.0,1,2,Polo 1.2 Trendline
 Balıkesir,450000.0,Fiat,Punto,Grande 1.4 Fire Active,2006,157000.0,Düz,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,5.9,45.0,0.0,0,2,Punto Grande 1.4 Fire Active
 Balıkesir,1200000.0,Mercedes-Benz,A,A 180 CDI BlueEFFICIENCY AMG,2013,130000.0,Düz,Dizel,Hatchback/5,1461.0,109.0,Önden Çekiş,4.0,50.0,0.0,0,0,A A 180 CDI BlueEFFICIENCY AMG
 Balıkesir,875000.0,Renault,Clio,1.0 TCe Joy,2022,74000.0,Düz,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.3,42.0,0.0,0,0,Clio 1.0 TCe Joy
 Balıkesir,1100000.0,Renault,Clio,1.0 TCe Joy,2022,98000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.3,42.0,0.0,0,0,Clio 1.0 TCe Joy
 Balıkesir,935000.0,Toyota,Corolla,1.6 Premium,2013,197000.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,5,Corolla 1.6 Premium
 Balıkesir,719000.0,Opel,Insignia,1.6 T Cosmo,2011,255000.0,Düz,Benzin,Sedan,1598.0,180.0,Önden Çekiş,7.7,70.0,0.0,0,0,Insignia 1.6 T Cosmo
 Balıkesir,1530000.0,Honda,Civic,1.6 i-VTEC Elegance,2020,83000.0,Otomatik,LPG & Benzin,Sedan,1597.0,125.0,Önden Çekiş,6.3,46.0,0.0,1,0,Civic 1.6 i-VTEC Elegance
 Balıkesir,1130000.0,Mazda,6,2.0 Sport,2014,150000.0,Otomatik,Benzin,Sedan,1801.0,151.0,Önden Çekiş,7.6,64.0,0.0,0,5,6 2.0 Sport
 Balıkesir,245000.0,Dacia,Logan,1.5 dCi Ambiance,2011,433000.0,Düz,Dizel,Sedan,1461.0,70.0,Önden Çekiş,5.1,50.0,0.0,0,0,Logan 1.5 dCi Ambiance
 Balıkesir,949750.0,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,208000.0,Düz,Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,3100.0,1,2,Civic 1.6 i-VTEC ECO Elegance
 Balıkesir,845000.0,Ford,Fiesta,1.6 Trend X,2014,154000.0,Otomatik,Benzin,Hatchback/5,1401.0,101.0,Önden Çekiş,5.9,42.0,0.0,0,4,Fiesta 1.6 Trend X
 Balıkesir,175000.0,Hyundai,Accent,1.3 LS,1998,320000.0,Düz,Benzin,Sedan,1341.0,75.0,Önden Çekiş,7.4,45.0,0.0,0,0,Accent 1.3 LS
 Balıkesir,829000.0,Fiat,Egea,1.4 Fire Urban,2021,68000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş,6.4,45.0,8000.0,0,1,Egea 1.4 Fire Urban
 Balıkesir,425000.0,Opel,Astra,1.3 CDTI Enjoy,2006,270000.0,Düz,Dizel,Hatchback/5,1248.0,90.0,Önden Çekiş,4.8,52.0,0.0,0,1,Astra 1.3 CDTI Enjoy
 Balıkesir,697000.0,Hyundai,i20,1.2 MPI Style,2015,172000.0,Düz,Benzin,Hatchback/5,1248.0,84.0,Önden Çekiş,5.1,50.0,0.0,0,2,i20 1.2 MPI Style
 Balıkesir,335000.0,Opel,Corsa,1.3 CDTI Essentia,2006,246000.0,Düz,Dizel,Hatchback/5,1248.0,75.0,Önden Çekiş,4.6,45.0,0.0,0,8,Corsa 1.3 CDTI Essentia
 Balıkesir,420500.0,Toyota,Corolla,1.6 Terra,2006,371000.0,Otomatik,Benzin,Sedan,1598.0,110.0,Önden Çekiş,7.5,55.0,0.0,2,0,Corolla 1.6 Terra
 Balıkesir,1235000.0,Toyota,Corolla,1.5 Dream,2021,32936.0,Otomatik,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,50.0,8930.0,0,0,Corolla 1.5 Dream
 Balıkesir,1320000.0,Audi,A5,A5 Sportback 2.0 TDI Quattro,2015,260000.0,Otomatik,Dizel,Hatchback/5,1801.0,176.0,4WD (Sürekli),4.6,63.0,0.0,3,5,A5 A5 Sportback 2.0 TDI Quattro
 Balıkesir,690000.0,Renault,Fluence,1.5 dCi Touch Plus,2013,199300.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.4,60.0,0.0,1,2,Fluence 1.5 dCi Touch Plus
 Balıkesir,325000.0,Volkswagen,Polo,1.4 Comfortline,2002,310000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,6.2,45.0,0.0,0,0,Polo 1.4 Comfortline
 Balıkesir,755000.0,Skoda,Fabia,1.2 TSI Style,2016,95800.0,Düz,Benzin,Hatchback/5,1197.0,90.0,Önden Çekiş,4.7,45.0,0.0,1,3,Fabia 1.2 TSI Style
 Balıkesir,397750.0,Chevrolet,Aveo,1.2 LS,2012,144000.0,Düz,Benzin,Sedan,1206.0,84.0,Önden Çekiş,5.5,45.0,0.0,1,4,Aveo 1.2 LS
 Balıkesir,455000.0,Renault,Fluence,1.5 dCi Touch Plus,2016,523000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,15000.0,0,2,Fluence 1.5 dCi Touch Plus
 Balıkesir,1470000.0,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015,135000.0,Yarı Otomatik,Benzin,Sedan,1395.0,150.0,Önden Çekiş,5.1,66.0,0.0,0,0,Passat 1.4 TSi BlueMotion Comfortline
 Balıkesir,375000.0,Hyundai,Elantra,1.6 GLS,2004,323000.0,Düz,LPG & Benzin,Sedan,1599.0,105.0,Önden Çekiş,7.0,55.0,0.0,0,0,Elantra 1.6 GLS
 Balıkesir,620000.0,Opel,Astra,1.3 CDTI Enjoy 111.Yıl,2011,160000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,5.1,52.0,0.0,0,0,Astra 1.3 CDTI Enjoy 111.Yıl
 Balıkesir,350000.0,Renault,Laguna,2.0 RXT,2000,141000.0,Otomatik,LPG & Benzin,Hatchback/5,1998.0,114.0,Önden Çekiş,9.1,66.0,0.0,0,1,Laguna 2.0 RXT
 Balıkesir,800000.0,Toyota,Corolla,1.33 Life,2014,177000.0,Düz,Benzin,Sedan,1329.0,99.0,Önden Çekiş,5.8,55.0,0.0,1,1,Corolla 1.33 Life
 Balıkesir,399999.0,Fiat,Panda,1.2 Dynamic,2005,154400.0,Yarı Otomatik,Benzin,Hatchback/5,1242.0,60.0,Önden Çekiş,5.4,35.0,0.0,1,7,Panda 1.2 Dynamic
 Balıkesir,1225000.0,Seat,Leon,1.4 TSI FR,2016,149000.0,Düz,Benzin,Hatchback/5,1395.0,125.0,Önden Çekiş,5.2,50.0,0.0,0,0,Leon 1.4 TSI FR
 Balıkesir,1150000.0,Fiat,Egea,1.4 Fire Limited,2024,6000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş,6.4,45.0,0.0,0,0,Egea 1.4 Fire Limited
 Balıkesir,1275000.0,Hyundai,i30,1.6 CRDi Elite Plus Smart,2017,83000.0,Yarı Otomatik,Dizel,Hatchback/5,1582.0,136.0,Önden Çekiş,4.1,50.0,0.0,0,0,i30 1.6 CRDi Elite Plus Smart
 Balıkesir,461999.0,Ford,Focus,1.6 Ghia,1999,228800.0,Düz,LPG & Benzin,Hatchback/5,1596.0,100.0,Önden Çekiş,6.9,55.0,0.0,1,0,Focus 1.6 Ghia
 Balıkesir,325000.0,Renault,Scenic,1.6 Authentique,2003,142000.0,Otomatik,LPG & Benzin,MPV,1598.0,115.0,Önden Çekiş,8.1,60.0,0.0,0,0,Scenic 1.6 Authentique
 Balıkesir,190000.0,Lada,Samara,1.5,1993,280000.0,Düz,LPG & Benzin,Hatchback/5,1499.0,68.0,Önden Çekiş,7.3,45.0,0.0,0,0,Samara 1.5
 Balıkesir,220000.0,Ford,Fiesta,1.25 Flair,1997,185000.0,Düz,LPG & Benzin,Hatchback/3,1242.0,75.0,Önden Çekiş,7.1,42.0,0.0,0,0,Fiesta 1.25 Flair
 Balıkesir,210000.0,Renault,Laguna,2.0 RXT,1998,285000.0,Düz,Benzin,Hatchback/5,1948.0,139.0,Önden Çekiş,7.7,66.0,0.0,0,2,Laguna 2.0 RXT
 Balıkesir,255000.0,Ford,Mondeo,2.0 TDCi Ghia,2003,285000.0,Otomatik,Dizel,Sedan,1801.0,126.0,Önden Çekiş,5.8,58.0,0.0,0,2,Mondeo 2.0 TDCi Ghia
 Balıkesir,215000.0,Audi,A4,A4 Sedan 1.8,1996,357000.0,Düz,Benzin,Sedan,1781.0,125.0,Önden Çekiş,8.6,62.0,0.0,2,0,A4 A4 Sedan 1.8
 Balıkesir,245000.0,Fiat,Marea,1.6 Liberty,2004,228000.0,Düz,Benzin,Sedan,1596.0,103.0,Önden Çekiş,8.1,63.0,0.0,0,2,Marea 1.6 Liberty
 Balıkesir,235000.0,Mitsubishi,Carisma,1.6 GLX,1999,378000.0,Düz,Benzin,Sedan,1401.0,76.0,Önden Çekiş,7.3,60.0,0.0,0,2,Carisma 1.6 GLX
 Balıkesir,238000.0,Renault,Clio,1.4,2001,210000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,7.0,50.0,0.0,0,2,Clio 1.4
 Balıkesir,280000.0,Ford,Focus,2.0 Ghia,2001,320000.0,Düz,Benzin,Sedan,1801.0,126.0,Önden Çekiş,8.7,55.0,0.0,0,2,Focus 2.0 Ghia
 Balıkesir,1219000.0,Volkswagen,Polo,1.0 TSi Highline,2017,74000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.6,40.0,0.0,0,0,Polo 1.0 TSi Highline
 Balıkesir,1220000.0,Volkswagen,Golf,1.4 TSi Comfortline,2015,128000.0,Otomatik,Benzin,Hatchback/5,1201.0,101.0,Önden Çekiş,6.0,55.0,0.0,0,0,Golf 1.4 TSi Comfortline
 Balıkesir,885000.0,Toyota,Corolla,1.33 Life,2014,100000.0,Düz,Benzin,Sedan,1329.0,99.0,Önden Çekiş,5.8,55.0,0.0,0,0,Corolla 1.33 Life
 Balıkesir,470000.0,Renault,Fluence,1.5 dCi Joy,2014,252000.0,Düz,Dizel,Sedan,1461.0,90.0,Önden Çekiş,4.5,60.0,0.0,0,0,Fluence 1.5 dCi Joy
 Balıkesir,605000.0,Renault,Fluence,1.5 dCi Business,2012,190000.0,Düz,Dizel,Sedan,1461.0,85.0,Önden Çekiş,4.5,60.0,1100.0,0,2,Fluence 1.5 dCi Business
 Balıkesir,768750.0,Renault,Clio,1.0 SCe Joy,2022,107000.0,Düz,Benzin,Hatchback/5,1200.0,51.0,Önden Çekiş,4.9,42.0,10000.0,0,0,Clio 1.0 SCe Joy
 Balıkesir,409900.0,Peugeot,307,1.6 XR,2004,199000.0,Otomatik,Benzin,Hatchback/5,1587.0,110.0,Önden Çekiş,7.2,60.0,0.0,0,0,307 1.6 XR
 Balıkesir,219000.0,Hyundai,Accent,1.5 GLS,1997,318000.0,Düz,Benzin,Sedan,1401.0,76.0,Önden Çekiş,6.9,45.0,0.0,0,7,Accent 1.5 GLS
 Balıkesir,1420000.0,Mercedes-Benz,C,C 200 d BlueTEC Avantgarde,2015,295000.0,Otomatik,Dizel,Sedan,1598.0,136.0,Arkadan İtiş,4.2,41.0,0.0,0,2,C C 200 d BlueTEC Avantgarde
 Balıkesir,759000.0,Fiat,Egea,1.4 Fire Urban,2021,130000.0,Düz,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.4,45.0,0.0,0,2,Egea 1.4 Fire Urban
 Balıkesir,715000.0,Dacia,Sandero,1.5 dCi Stepway,2013,120000.0,Düz,Dizel,Hatchback/5,1401.0,76.0,Önden Çekiş,4.0,50.0,0.0,0,0,Sandero 1.5 dCi Stepway
 Balıkesir,769000.0,Fiat,Egea,1.4 Fire Easy,2022,57000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,5.7,45.0,0.0,0,0,Egea 1.4 Fire Easy
 Balıkesir,245000.0,Volkswagen,Polo,1.6 Classic,1997,220000.0,Düz,Benzin,Sedan,1595.0,100.0,Önden Çekiş,7.4,45.0,0.0,0,0,Polo 1.6 Classic
 Balıkesir,850000.0,Toyota,Corolla,1.33 Life,2014,135000.0,Düz,Benzin,Sedan,1329.0,99.0,Önden Çekiş,5.8,55.0,0.0,0,0,Corolla 1.33 Life
 Balıkesir,410000.0,Dacia,Sandero,1.4 Ambiance,2009,268000.0,Düz,Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,7.0,50.0,0.0,0,6,Sandero 1.4 Ambiance
 Balıkesir,625000.0,Ford,Focus,1.6 Ti-VCT Collection,2010,208000.0,Düz,Benzin,Hatchback/5,1596.0,115.0,Önden Çekiş,6.6,55.0,0.0,0,0,Focus 1.6 Ti-VCT Collection
 Balıkesir,859750.0,Fiat,Egea,1.4 Fire Urban,2022,51000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.4,45.0,0.0,0,0,Egea 1.4 Fire Urban
 Balıkesir,895000.0,Fiat,Egea,1.6 Multijet Urban Plus,2020,149000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.2,45.0,0.0,1,3,Egea 1.6 Multijet Urban Plus
 Balıkesir,1059000.0,Volkswagen,Golf,1.2 TSi Comfortline,2014,140000.0,Otomatik,Benzin,Hatchback/5,1200.0,101.0,Önden Çekiş,4.9,50.0,10000.0,1,4,Golf 1.2 TSi Comfortline
 Balıkesir,625000.0,Kia,Picanto,1.25 EX,2013,136000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,4.7,35.0,0.0,3,2,Picanto 1.25 EX
 Balıkesir,680000.0,Fiat,Egea,1.4 Fire Easy Plus,2018,114000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.4,45.0,0.0,0,0,Egea 1.4 Fire Easy Plus
 Balıkesir,640000.0,Dacia,Lodgy,1.5 dCi Laureate,2013,170000.0,Düz,Dizel,MPV,1461.0,90.0,Önden Çekiş,4.2,50.0,0.0,0,0,Lodgy 1.5 dCi Laureate
 Balıkesir,385000.0,Peugeot,308,1.6 VTi Comfort,2008,298000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,122.0,Önden Çekiş,6.7,60.0,2024.0,1,3,308 1.6 VTi Comfort
 Balıkesir,355000.0,Hyundai,Accent,1.3 Admire,2005,286000.0,Düz,LPG & Benzin,Sedan,1341.0,86.0,Önden Çekiş,6.7,45.0,0.0,2,10,Accent 1.3 Admire
 Balıkesir,445000.0,Fiat,Punto,Grande 1.4 Fire Active,2007,146000.0,Düz,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,5.9,45.0,0.0,0,7,Punto Grande 1.4 Fire Active
 Balıkesir,398000.0,Dacia,Logan,1.4,2008,170000.0,Düz,LPG & Benzin,Sedan,1390.0,75.0,Önden Çekiş,6.8,50.0,0.0,1,0,Logan 1.4
 Balıkesir,740000.0,Opel,Astra,1.6 Business,2015,174000.0,Düz,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.5,56.0,0.0,0,0,Astra 1.6 Business
 Balıkesir,1198000.0,Renault,Megane,1.3 TCe Joy,2021,46500.0,Düz,Benzin,Sedan,1332.0,140.0,Önden Çekiş,5.7,50.0,0.0,0,0,Megane 1.3 TCe Joy
 Balıkesir,469000.0,Renault,Scenic,1.5 dCi Privilege,2009,223000.0,Düz,Dizel,MPV,1461.0,100.0,Önden Çekiş,5.1,60.0,0.0,0,7,Scenic 1.5 dCi Privilege
 Balıkesir,620000.0,Opel,Astra,1.6 Essentia Konfor,2013,136000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,115.0,Önden Çekiş,6.5,52.0,0.0,1,1,Astra 1.6 Essentia Konfor
 Balıkesir,250000.0,Dacia,Logan,1.4 Ambiance,2009,530000.0,Düz,LPG & Benzin,Sedan,1390.0,75.0,Önden Çekiş,6.8,50.0,0.0,1,0,Logan 1.4 Ambiance
 Balıkesir,1510000.0,Ford,Focus,1.5 Ti-VCT Titanium,2022,46100.0,Otomatik,Benzin,Sedan,1497.0,123.0,Önden Çekiş,7.1,52.0,0.0,0,0,Focus 1.5 Ti-VCT Titanium
 Balıkesir,1600000.0,Mercedes-Benz,A,A 180 CDI BlueEFFICIENCY AMG Sport,2015,82100.0,Yarı Otomatik,Dizel,Hatchback/5,1461.0,109.0,Önden Çekiş,3.7,50.0,0.0,0,0,A A 180 CDI BlueEFFICIENCY AMG Sport
 Balıkesir,330000.0,Opel,Astra,1.6 CD,1999,330000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,100.0,Önden Çekiş,7.4,52.0,0.0,0,0,Astra 1.6 CD
 Balıkesir,460000.0,Fiat,Albea,Sole 1.4 Fire Dynamic,2007,38800.0,Düz,Benzin,Sedan,1368.0,77.0,Önden Çekiş,6.2,48.0,0.0,3,2,Albea Sole 1.4 Fire Dynamic
 Balıkesir,399990.0,Fiat,Linea,1.3 Multijet Dynamic,2007,240000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,4.9,45.0,0.0,0,0,Linea 1.3 Multijet Dynamic
 Balıkesir,850000.0,Volkswagen,Jetta,1.6 TDi Comfortline,2011,260000.0,Düz,Dizel,Sedan,1598.0,105.0,Önden Çekiş,4.7,55.0,0.0,0,0,Jetta 1.6 TDi Comfortline
 Balıkesir,945000.0,Renault,Megane,1.6 Joy,2017,75000.0,Düz,Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.3,49.0,0.0,0,0,Megane 1.6 Joy
 Balıkesir,640000.0,Volkswagen,Passat,2.0 TDi Highline,2008,230000.0,Yarı Otomatik,Dizel,Station wagon,1968.0,140.0,Önden Çekiş,6.5,70.0,0.0,0,7,Passat 2.0 TDi Highline
 Balıkesir,390000.0,Renault,Clio,1.4 Authentique,2004,215000.0,Düz,LPG & Benzin,Sedan,1390.0,75.0,Önden Çekiş,7.1,50.0,0.0,0,0,Clio 1.4 Authentique
 Balıkesir,440000.0,Dacia,Lodgy,1.5 dCi Laureate,2017,460000.0,Düz,Dizel,MPV,1461.0,90.0,Önden Çekiş,4.2,50.0,0.0,0,0,Lodgy 1.5 dCi Laureate
 Balıkesir,280000.0,Hyundai,Accent,1.3 Admire,2003,285000.0,Düz,LPG & Benzin,Sedan,1341.0,86.0,Önden Çekiş,6.7,45.0,0.0,3,1,Accent 1.3 Admire
 Balıkesir,555000.0,Ford,Focus,1.6 TDCi Ghia,2007,179421.0,Otomatik,Dizel,Sedan,1560.0,110.0,Önden Çekiş,5.5,55.0,0.0,0,1,Focus 1.6 TDCi Ghia
 Balıkesir,265000.0,Fiat,Brava,1.6 SX,2001,226000.0,Otomatik,LPG & Benzin,Hatchback/5,1581.0,103.0,Önden Çekiş,9.2,50.0,0.0,0,0,Brava 1.6 SX
 Balıkesir,592500.0,Opel,Astra,1.3 CDTI Essentia Konfor,2010,201000.0,Düz,Dizel,Hatchback/5,1248.0,90.0,Önden Çekiş,4.9,52.0,0.0,0,4,Astra 1.3 CDTI Essentia Konfor
 Balıkesir,180000.0,Mazda,626,2.0 GLX,1991,393000.0,Düz,LPG & Benzin,Sedan,1998.0,90.0,Önden Çekiş,7.4,60.0,0.0,0,0,626 2.0 GLX
 Balıkesir,320000.0,Renault,Clio,1.4 RTA,1999,245000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,6.8,50.0,0.0,0,0,Clio 1.4 RTA
 Balıkesir,1195000.0,Opel,Corsa,1.2 Turbo Edition,2024,28750.0,Otomatik,Benzin,Hatchback/5,1199.0,100.0,Önden Çekiş,6.2,44.0,0.0,0,0,Corsa 1.2 Turbo Edition
 Balıkesir,650000.0,Renault,Clio,1.5 dCi Joy,2018,213000.0,Düz,Dizel,Hatchback/5,1461.0,75.0,Önden Çekiş,3.6,45.0,3.0,2,0,Clio 1.5 dCi Joy
 Balıkesir,585000.0,Volkswagen,Polo,1.2 TDi BlueMotion,2013,215000.0,Düz,Dizel,Hatchback/5,1199.0,75.0,Önden Çekiş,3.4,45.0,0.0,0,0,Polo 1.2 TDi BlueMotion
 Balıkesir,390000.0,Opel,Astra,1.6 Classic,2006,191000.0,Düz,Benzin,Sedan,1598.0,103.0,Önden Çekiş,7.1,52.0,0.0,0,3,Astra 1.6 Classic
 Balıkesir,840000.0,Opel,Astra,1.4 T Sport,2012,124000.0,Otomatik,Benzin,Hatchback/5,1364.0,140.0,Önden Çekiş,6.8,56.0,24000.0,0,0,Astra 1.4 T Sport
 Balıkesir,475000.0,Opel,Vectra,1.6 Comfort,2004,249300.0,Düz,LPG & Benzin,Hatchback/5,1598.0,100.0,Önden Çekiş,7.5,61.0,0.0,0,0,Vectra 1.6 Comfort
 Balıkesir,455000.0,Seat,Ibiza,1.4 TDI Stylance,2006,182000.0,Düz,Dizel,Hatchback/5,1422.0,80.0,Önden Çekiş,4.6,45.0,1500.0,0,5,Ibiza 1.4 TDI Stylance
 Balıkesir,295000.0,Fiat,Idea,1.4 Active,2006,260000.0,Düz,LPG & Benzin,MPV,1368.0,95.0,Önden Çekiş,6.6,47.0,0.0,0,0,Idea 1.4 Active
 Balıkesir,320000.0,Renault,Clio,1.4 RTA,2001,270000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,6.8,50.0,0.0,0,0,Clio 1.4 RTA
 Balıkesir,260000.0,Fiat,Palio,1.4 EL,2000,206000.0,Düz,LPG & Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,6.1,51.0,0.0,0,2,Palio 1.4 EL
 Balıkesir,410000.0,Ford,Focus,1.6 TDCi Trend X,2011,300000.0,Düz,Dizel,Hatchback/5,1560.0,90.0,Önden Çekiş,4.7,55.0,0.0,0,4,Focus 1.6 TDCi Trend X
 Balıkesir,1370000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,16000.0,Otomatik,Benzin,Hatchback/5,999.0,90.0,Önden Çekiş,6.0,42.0,0.0,0,0,Clio 1.0 TCe Techno Esprit Alpine
 Balıkesir,865000.0,Fiat,Egea,1.3 Multijet Easy,2021,105000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.1,50.0,0.0,0,0,Egea 1.3 Multijet Easy
 Balıkesir,225000.0,Volkswagen,Polo,1.6 Classic,1998,284000.0,Düz,LPG & Benzin,Sedan,1598.0,75.0,Önden Çekiş,7.1,45.0,0.0,0,0,Polo 1.6 Classic
 Balıkesir,350000.0,Volkswagen,Golf,1.6 Trendline,2000,285000.0,Düz,LPG & Benzin,Hatchback/5,1595.0,101.0,Önden Çekiş,7.6,55.0,0.0,0,0,Golf 1.6 Trendline
 Balıkesir,675000.0,Hyundai,i20,1.2 MPI Style,2017,102000.0,Düz,LPG & Benzin,Hatchback/5,1248.0,84.0,Önden Çekiş,5.1,50.0,0.0,0,2,i20 1.2 MPI Style
 Balıkesir,765000.0,Volkswagen,Jetta,1.4 TSi Highline,2013,175000.0,Düz,Benzin,Sedan,1390.0,122.0,Önden Çekiş,6.2,55.0,0.0,2,3,Jetta 1.4 TSi Highline
 Balıkesir,1050000.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,212000.0,Yarı Otomatik,Dizel,Sedan,1598.0,105.0,Önden Çekiş,4.7,70.0,0.0,0,2,Passat 1.6 TDi BlueMotion Comfortline
 Balıkesir,288500.0,Volkswagen,Polo,1.6,2000,241000.0,Düz,LPG & Benzin,Sedan,1595.0,100.0,Önden Çekiş,7.9,45.0,0.0,0,0,Polo 1.6
 Balıkesir,720000.0,Citroen,C-Elysee,1.6 HDi Attraction,2016,130000.0,Düz,Dizel,Sedan,1560.0,93.0,Önden Çekiş,4.3,48.0,0.0,0,0,C-Elysee 1.6 HDi Attraction
 Balıkesir,193000.0,Hyundai,Accent,1.3 LS,1997,307000.0,Düz,LPG & Benzin,Sedan,1341.0,75.0,Önden Çekiş,7.4,45.0,0.0,0,0,Accent 1.3 LS
 Balıkesir,300000.0,Fiat,Palio,1.2 S,2000,150500.0,Düz,Benzin,Hatchback/5,1242.0,74.0,Önden Çekiş,7.2,51.0,0.0,2,11,Palio 1.2 S
 Balıkesir,715900.0,Renault,Latitude,1.5 dCi Expression,2013,236000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.7,66.0,0.0,0,2,Latitude 1.5 dCi Expression
